index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.workingmother.com/	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
2	http://www.thefreedictionary.com/workingwoman	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
3	https://www.facebook.com/theworkingwoman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	http://www.dictionary.com/browse/workingwoman	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
5	http://workingwomanreport.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
6	https://christianworkingwoman.org/	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
7	http://www.womenworking.com/	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
8	https://www.merriam-webster.com/dictionary/workingwoman	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
9	http://theworkingwoman.pk/	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
12	http://legal-dictionary.thefreedictionary.com/workingwoman	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0
13	http://www.wordplays.com/definition/workingwoman	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
14	https://en.wiktionary.org/wiki/workingwoman	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
15	http://www.thesaurus.com/browse/workingwoman	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
16	http://www.dictionary.com/browse/workingwomen	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
17	http://christianworkingwoman.org/radio/	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
18	http://www.womenworking.com/blog/	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
19	http://www.aworkingwoman.com/	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
20	https://www.merriam-webster.com/dictionary/workingman	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
21	http://www.homeworkingwoman.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
22	http://theworkingwomandc.com/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	https://heartworkingwoman.com/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
24	http://www.womenworking.com/blog/	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
25	https://www.pinterest.com/pin/432275264207196256/	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
26	http://www.joinworkingwomen.com/	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
27	http://www.workingwomensexpo.com/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
28	https://twitter.com/hashtag/WorkingWoman	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
29	https://www.pinterest.com/explore/working-woman-quotes/	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
31	http://www.yourdictionary.com/workingwoman	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
32	http://www.joinworkingwomen.com/	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
33	http://www.thefreedictionary.com/workings	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0
34	http://www.workingwomansfood.com/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
35	http://www.thesaurus.com/browse/workingman	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
36	http://www.homedepot.com/b/Tools-Hardware-Workwear-Safety-Gear-Equipment-Workwear-Apparel-Work-Gloves/N-5yc1vZc260	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
37	http://www.workingwomansfood.com/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
38	https://www.instagram.com/explore/tags/workingwoman/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	http://www.writenews.com/workingwoman-com-goes-online-81620004	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
40	http://www.modernworkingwoman.com/	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
42	http://www.workingwomanentrepreneur.com/	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0
43	http://www.definitions.net/definition/workingwoman	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0
44	http://www.thefreedictionary.com/workings	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0
45	http://www.thesaurus.com/browse/workingman	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
46	http://womanswork.com/	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
