index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.thefreedictionary.com/shies	0.14754098360655737	0.0	0.0	0.0	0	0	0	0	0	0.0	90	0.0	0.0	0.0	0.0
2	http://www.yext.com/pl/yahoo-claims/index.html?yh_source=srp_locallist_n	0	0.0	0.0	0.0	0	0	0	0	0	0	5	0.0	0.0	0	0.0
3	http://www.dictionary.com/browse/shies	0.0	0.0	0	0	6.0	0	0	0	0	0.0	26	0.0	0.0	63.82407142554781	0.0
4	http://www.shoes.com/	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0	5	0.0	0.0	0.0	0.0
5	http://www.zappos.com/shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
6	http://www.shoes.com/womens-shoes-list2_ct1/1/60	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	5	0.0	0.0	0.0	0.0
8	http://www.6pm.com/shoes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	15	0.0	0.0	0.0	0.0
9	https://www.overstock.com/Clothing-Shoes/Shoes/29/dept.html	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	4	0.0	0.0	0.0	0.0
11	http://www.zappos.com/womens-shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
12	http://www.famousfootwear.com/	0.0	0	0	0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
13	https://www.onlineshoes.com/	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0	0	5	0.0	0.0	0.0	0.0
14	http://www.target.com/c/shoes/-/N-55b0t	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
15	http://www.shoedazzle.com/	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
16	http://www.ebay.com/sch/i.html?_nkw=shoes	0.0	0.0	0	0.0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
17	http://www.shoecarnival.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	12	0.0	0.0	0.0	0.0
18	http://www.shoecarnival.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	12	0.0	0.0	0.0	0.0
19	http://www.dsw.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	9	0	0.0	0.0	0.0
21	https://secure-www.zappos.com/	0.0	0	0	0.0	0.0	0	0.0	0	0	0.0	17	0.0	0.0	0.0	0.0
22	http://www.payless.com/	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	11	0.0	0.0	0.0	0.0
24	http://shop.nordstrom.com/c/womens-shoes	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	22	0.0	0.0	0.0	0.0
25	http://www.dillards.com/c/shoes	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	12	0.0	0.0	0.0	0.0
26	http://www.kohls.com/sale-event/shoes.jsp	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	12	0.0	0.0	0.0	0.0
27	http://shop.nordstrom.com/c/womens-shoes	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	22	0.0	0.0	0.0	0.0
30	http://www.ebay.com/rpp/shoes	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	2	0.0	0.0	0.0	0.0
32	http://www.reebok.com/us/shoes	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	11	0.0	0.0	0.0	0.0
33	http://www.famousfootwear.com/womens	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
34	http://www.thefreedictionary.com/shies	0.14754098360655737	0.0	0.0	0.0	0	0	0	0	0	0.0	90	0.0	0.0	0.0	0.0
35	http://www.dictionary.com/browse/shies	0.0	0.0	0	0	6.0	0	0	0	0	0.0	26	0.0	0.0	63.82407142554781	0.0
36	http://www.zappos.com/shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	9	0.0	0.0	0.0	0.0
37	http://www.offbroadwayshoes.com/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
38	http://www.justfab.com/	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	14	0	0.0	0.0	0.0
39	http://www.ebay.com/sch/i.html?_nkw=mens+shoes	0.0	0.0	0	0.0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
40	http://www.adidas.com/us/	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	14	0.0	0.0	0.0	0.0
41	http://www.menswearhouse.com/mens-shoes	0.0	0.0	0	0	0.0	0	0.0	0	0	0.0	16	0.0	0.0	0.0	0.0
