index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
2	https://estore.heilind.com/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
3	https://careers.heilind.com/	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
5	http://www.wordplays.com/definition/heiling	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
6	http://www.anagrammer.com/scrabble/heiling	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
7	http://www.confessionsofastampingaddict.com/	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0
8	http://heilingdwyer.com/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	http://www.thefreedictionary.com/healing	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0
11	http://www.lehighvalleylive.com/education/index.ssf/2016/11/students_yelling_cotton_picker_heiling_hitler_at_this_local_school.html	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
12	https://www.theknot.com/us/alisa-salfer-and-drew-heiling-jun-2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	http://www.ancestry.com/name-origin?surname=heiling	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
14	http://heilingdwyer.com/contact/	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
15	http://www.confessionsofastampingaddict.com/	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0
16	https://en.wikipedia.org/wiki/Hans_Heiling	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0
17	http://www.anagrammer.com/scrabble/heiling	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
18	https://www.theknot.com/us/alisa-salfer-and-drew-heiling-jun-2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	http://www.legacy.com/obituaries/beaumontenterprise/obituary.aspx?pid=146868341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	https://www.buildzoom.com/contractor/jeff-heiling-construction-inc	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
21	http://www.lehighvalleylive.com/education/index.ssf/2016/11/students_yelling_cotton_picker_heiling_hitler_at_this_local_school.html	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
22	https://www.yelp.com/biz/heiling-dwyer-attorneys-portland-2	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0
23	https://www.yelp.com/c/portland/lawyers	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
24	https://www.yelp.com/c/portland/personal_injury	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
25	https://www.tripadvisor.com/ShowUserReviews-g190454-d10251344-r391148873-Heiling-Vienna.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	https://www.tripadvisor.com/Tourism-g190454-Vienna-Vacations.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	https://www.tripadvisor.com/Restaurants-g190454-Vienna.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	https://www.tripadvisor.com/Restaurant_Review-g190454-d10251344-Reviews-Heiling-Vienna.html	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
29	https://www.buildzoom.com/contractor/heiling-construction-inc	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
30	http://www.census-records.us/last/HEILING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	https://en.wiktionary.org/wiki/heiling	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
32	https://www.gofundme.com/2g84kzfq	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
33	http://www.youtube.com/user/LorriHeiling	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
34	https://en.wiktionary.org/wiki/heiling	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
37	https://careers.heilind.com/about-us/	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
38	https://www.tripadvisor.com/ShowUserReviews-g190454-d10251344-r391148873-Heiling-Vienna.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	https://www.tripadvisor.com/Tourism-g190454-Vienna-Vacations.html	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
